subject,grade_or_band,code,statement
ELA	1	RF.1.1	
ELA	1	RF.1.1.a	
ELA	1	RF.1.1.b	beginning of sentence, top of the page, bottom of the page).
ELA	1	RF.1.1.c	ending punctuation). Phonological Awareness CODE DESCRIPTION
ELA	1	RF.1.2	
ELA	1	RF.1.2.a	
ELA	1	RF.1.2.b	in the initial and final position .
ELA	1	RF.1.2.c	words.
ELA	1	RF.1.2.d	phonemes. Phonics and Word Recognition CODE DESCRIPTION
ELA	1	RF.1.3	words.
ELA	1	RF.1.3.a	sh, ch, wh, th, gh).
ELA	1	RF.1.3.b	
ELA	1	RF.1.3.c	
ELA	1	RF.1.3.d	syllables in a printed word.
ELA	1	RF.1.3.e	
ELA	1	RF.1.3.f	
ELA	1	RF.1.3.g	
ELA	1	RF.1.3.h	
ELA	1	RF.1.3.i	
ELA	1	RF.1.3.j	KANSAS STANDARDS FOR ENGLISH L ANGUAGE ARTS GRADE 1 Fluency CODE DESCRIPTION
ELA	1	RF.1.4	
ELA	1	RF.1.4.a	
ELA	1	RF.1.4.b	
ELA	1	RF.1.4.c	increase accuracy in fluent reading. Reading: Literature Key Ideas and Details CODE DESCRIPTION
ELA	1	RI.1.1	
ELA	1	RI.1.10	
ELA	1	RI.1.11	phrases to expand language comprehension .
ELA	1	RI.1.11.a	word.
ELA	1	RI.1.11.b	
ELA	1	RI.1.11.c	
ELA	1	RI.1.12	relations hips and nuances in word meanings.
ELA	1	RI.1.12.a	
ELA	1	RI.1.12.b	
ELA	1	RI.1.12.c	
ELA	1	RI.1.12.d	them or by acting out the meanings. Range of Reading and Text Complexity CODE DESCRIPTION
ELA	1	RI.1.13	appropriate quantitative and qualitative complexity for first grade. GRADE 1 KANSAS STANDARDS FOR ENGLISH LANGUAGE ARTS Kansas State Department of Education | www.ksde.org 20 Writing Text Types and Purposes CODE DESCRIPTION
ELA	1	RI.1.2	
ELA	1	RI.1.3	a text. Craft and Structure CODE DESCRIPTION
ELA	1	RI.1.4	in a text.
ELA	1	RI.1.5	electronic menus, icons) to locate key facts or information in a text.
ELA	1	RI.1.6	information provided by the words in a text. KANSAS STANDARDS FOR ENGLISH L ANGUAGE ARTS GRADE 1 Integration of Knowledge and Ideas CODE DESCRIPTION
ELA	1	RI.1.7	
ELA	1	RI.1.8	
ELA	1	RI.1.9	illustrations, descriptions or procedures). Language in Reading: Informational CODE DESCRIPTION
ELA	1	RL.1.1	
ELA	1	RL.1.10	
ELA	1	RL.1.11	phrases to expand language comprehension .
ELA	1	RL.1.11.a	
ELA	1	RL.1.11.b	
ELA	1	RL.1.11.c	looks, looked, looking).
ELA	1	RL.1.11.d	
ELA	1	RL.1.12	relationships and nuances in word meanings.
