subject,grade_or_band,code,statement
Social Studies	K-12	1.1	The student will recognize and evaluate significant choices and consequences that have impacted our lives and futures.
Social Studies	K-12	1.2	The student will analyze the context and draw conclusions about choices and consequences.
Social Studies	K-12	1.3	The student will investigate and connect examples of choices and consequences with contemporary issues.
Social Studies	K-12	1.4	The student will use their understanding of choices and consequences to make a claim or advance a thesis using evidence and argument. STANDARD 2 INDIVIDUALS HAVE RIGHTS AND RESPONSIBILITIES People and groups throughout history have deliberated the rights and responsibilities within their society. Rights are the basic freedoms of individuals while responsibilities view the collective obligations of people. The following are aspects of rights and responsibilities: •Rights tell the bearer what they are at liberty to do, but are not a requirement to exercise them. •Rights are something that societies often guarantee and come with responsibilities. •A responsibility is a duty or obligation to perform or complete. Benchmark:
Social Studies	K-12	2.1	The student will recognize and evaluate the rights and responsibilities of people living in societies.
Social Studies	K-12	2.2	The student will analyze the context and draw conclusions about rights and responsibilities.
Social Studies	K-12	2.3	The student will investigate and connect the rights and responsibilities of individuals with contemporary issues.
Social Studies	K-12	2.4	The student will use their understanding of rights and responsibilities to make a claim or advance a thesis using evidence and argument. 8 Kansas State Department of Education | www.ksde.gov StandardS | K ANSAS HISTORY, GOVERNMENT, AND SOCIAL STUDIES STANDARDS STANDARD 3 SOCIETIES ARE SHAPED BY THE IDENTITIES, BELIEFS, AND PRACTICES OF INDIVIDUALS AND GROUPS People live in communities comprised and shaped by various identities, beliefs, and practices of both individuals and groups. Within communities these differing identities, beliefs, and practices require change. The diversity of a community is not always represented/reflected by the majority. The following are aspects of identities, beliefs, and practices: •Identities are who we are, the way we think about ourselves, and how we view the world. •Beliefs are considered or accepted by individuals as true, and impact behaviors and reactions. •Practices are the actual application of identities, beliefs, and ideas on real-world issues. Benchmark:
Social Studies	K-12	3.1	The student will recognize and evaluate how societies are shaped by the identities, beliefs, and practices of individuals and groups.
Social Studies	K-12	3.2	The student will analyze context and draw conclusions of how societies are shaped by the identities, beliefs, and practices of individuals and groups.
Social Studies	K-12	3.3	The student will investigate and connect how societies are shaped by the identities, beliefs, and practices of individuals and groups with contemporary issues.
Social Studies	K-12	3.4	The student will use their understanding of how societies are shaped by the identities, beliefs, and practices of individuals and groups to make a claim or advance a thesis using evidence and argument. STANDARD 4 SOCIETIES EXPERIENCE CONTINUITY AND CHANGE OVER TIME People and communities have aspects of continuity but experience some degree of change over time. Continuity refers to a society’s ability to hold on to what is important, to remain stable, anchored. Change refers to a society’s ability to adapt and make the adjustments necessary to protect and advance the society. The following are aspects of continuity and change: •Change is generally continuous, not simply discrete events happening at their own pace, and are often determined by “turning or tipping” points. •Progress and regression are one of several ways of determining change. •Continuity is the connection between events, ideas or beliefs over time. Benchmark:
Social Studies	K-12	4.1	The student will recognize and evaluate continuity and change over time.
Social Studies	K-12	4.2	The student will analyze the context and draw conclusions about continuity and change.
Social Studies	K-12	4.3	The student will investigate and connect continuity and change to a contemporary issue.
Social Studies	K-12	4.4	The student will use their understanding of continuity and change to make a claim or advance a thesis using evidence and argument. KANSAS HISTORY, GOVERNMENT, AND SOCIAL STUDIES STANDARDS | Standard S 9 Kansas State Department of Education | www.ksde.gov STANDARD 5 RELATIONSHIPS AMONG PEOPLE, PLACES, IDEAS, AND ENVIRONMENTS ARE DYNAMIC. People, places, ideas, and environments experience change, activity, progress, or regression. All relationships are in a constant state of adjustment. These adjustments may also result in additional change, activity, progress, or regression. The following are aspects of dynamic relationship: •Relationships are the interactions, connections, or feelings that exist between two or more parties and are characterized by constant change, activity, progress, or regression. •The interaction of a single relationship between individuals, communities, and/or their environment impacts to some degree all other relationships. •Dynamic relationships involve circumstances which often create shifts in priorities, leading to tension and adjustments toward progress. Benchmark:
Social Studies	K-12	5.1	The student will recognize and evaluate dynamic relationships that impact lives in communities, states, and nations.
Social Studies	K-12	5.2	The student will analyze the context and draw conclusions about dynamic relationships.
Social Studies	K-12	5.3	The student will investigate and connect dynamic relationships to contemporary issues.
